ID,Name,Grade,Feet,Climb Type,Send Type,Date,Send,Trip ID,Location,Area,Partners,Notes
OID-001,Truculence,5.6,40,Sport,Lead,2-11-2019,y,TID-001,New Jack City,Boy Scout Wall,"Ann, Kami",
OID-002,Unleash the Dragon (aka There Goes the Neighborhood),5.7,40,Sport,Lead,2-11-2019,y,TID-001,New Jack City,Boy Scout Wall,"Ann, Kami",lacks bolts!
OID-003,Ivy Alice,5.7,35,Sport,Lead,2-11-2019,y,TID-001,New Jack City,Boy Scout Wall,"Ann, Kami",high first bolt
OID-004,Left,5.8,90,Sport,TR,2-24-2019,y,TID-002,Point Dume,Face,"Ann, Livia, Noah",
OID-005,Center,5.8,90,Sport,TR,2-24-2019,y,TID-002,Point Dume,Face,"Ann, Livia, Noah",
OID-006,South Face Left,5.10B,80,Sport,TR,2-24-2019,y,TID-002,Point Dume,South Face,"Ann, Livia, Noah",
OID-007,Truculence,5.6,40,Sport,Lead,5-27-2019,y,TID-003,New Jack City,Boy Scout Wall,"Rebecca, Amanda, Adelaide, Ellen",
OID-008,Unleash the Dragon (aka There Goes the Neighborhood),5.7,40,Sport,Lead,5-27-2019,y,TID-003,New Jack City,Boy Scout Wall,"Rebecca, Amanda, Adelaide, Ellen",
OID-009,Ivy Alice,5.7,35,Sport,Lead,5-27-2019,y,TID-003,New Jack City,Boy Scout Wall,"Rebecca, Amanda, Adelaide, Ellen",
OID-010,Girl Scout Cookies,5.7,50,Sport,Lead,5-27-2019,y,TID-003,New Jack City,Boy Scout Wall,"Rebecca, Amanda, Adelaide, Ellen","Messed up gear... Tried to clip biners into bolt, not enough room. Should have just used rap rings. RIP spilled beer and ripped mesh."
OID-011,Husker,5.6,60,Sport,TR,5-27-2019,y,TID-003,New Jack City,Caprica,"Rebecca, Ellen",Walk to top and set up anchor
OID-012,Apollo,5.5,60,Sport,TR,5-27-2019,y,TID-003,New Jack City,Caprica,"Rebecca, Ellen",Shares an anchor with Husker
OID-013,Left,5.8,90,Sport,TR,7-13-2019,y,TID-004,Point Dume,Face,"Emily, Adelaide",SO packed. Terrible time parking. Got nervous setting up and tangled rope on throw.
OID-014,Powder Puff Girls,5.9,40,Sport,Lead,8-3-2019,y,TID-005,Malibu Creek State Park,Power Wall,"Ann, Cole, Alex Chung, J.D., Adelaide",Scary high move before first clip to good hueco. It's all about getting a high left foot. Third clip is a little spooky but better mobility as you move right of the hueco.
OID-015,Electric Eye,5.10C,40,Sport,TR,8-3-2019,n,TID-005,Malibu Creek State Park,Power Wall,"Ann, Cole, Alex Chung, J.D., Adelaide","Carried up the wall but beta was good once it was discovered! Beta: Boulder up the first few moves until you get to the last left hueco. Find a mono or a nub to get you to a left-hand pocket with thumb catch, both chalked. Right hand slips into a deep 3.5 finger undercling pocket. Flag right for a throw to a high left undercling pinch. Switch feet for a balanced throw to 4-pad right hand crimp. Get scrunched up to a big throw for a nice jug to the big hueco up top. Fight your way to the finish over the lip."
OID-016,Skyline Pillar,5.7,40,Sport,Lead,8-7-2019,y,TID-006,Holcomb Valley Pinnacles,Doc Holliday Wall,Mark,Doable!
OID-017,Pistol Pete,5.10A/B,80,Sport,Lead,8-7-2019,n,TID-006,Holcomb Valley Pinnacles,Doc Holliday Wall,Mark,"Skipped the bottom slab in favor of scramble... still going to count it as 80ft climb. Used the juggy escape, need to keep working this wall to improve."
OID-018,Bum Steer,5.10A,60,Sport,Lead,8-7-2019,y,TID-006,Holcomb Valley Pinnacles,Claim Jumper Wall,Mark,
OID-019,Bobbing for Ear Snax,5.9,80,Trad,Follow,8-7-2019,y,TID-006,Holcomb Valley Pinnacles,Claim Jumper Wall,Mark,Mark lead and placed gear
OID-020,Claim Jumper,5.10A,60,Sport,Lead,8-7-2019,n,TID-006,Holcomb Valley Pinnacles,Claim Jumper Wall,Mark,Incomplete. Stopped at Crux (took some big falls!)
OID-021,Claim Jumper,5.8,80,Sport,TR,8-7-2019,n,TID-006,Holcomb Valley Pinnacles,Claim Jumper Wall,Mark,Second attempt. So so so weak. Used crack system on left to avoid crux
OID-022,Green Goblin,5.7,50,Trad,TR,8-7-2019,n,TID-006,Holcomb Valley Pinnacles,Claim Jumper Wall,Mark,"Chimney crack. Desparate struggle up, lots of tries. Overexertion caused trigger finger at the top. Would like to avoid that in future."
OID-023,Becky Route,5.9+,100,Trad,Follow,8-12-2019,n,TID-007,Pine Creek Canyon,Mustache Wall,"Ann, Mark",Fell twice on crimp move with high feet. Passed it by reading the route and committing until found a jug.
OID-024,Surrealistic Pillar,5.7,270,Trad,Follow,8-13-2019,y,TID-007,Lover's Leap,Lower Buttress,"Ann, Mark","First multi-pitch ever. Nice dikes, easy climbing. Minimal usage of cracks save for feet here and there."
OID-025,Corrugation Corner,5.7,300,Trad,Follow,8-13-2019,y,TID-007,Lover's Leap,Main Wall,"Ann, Mark",Very clean climbing. Few technical moves save for chimneys and beached whale. Brought TOO much water!!!
OID-026,The Groove,5.8,150,Trad,Follow,8-13-2019,y,TID-007,Lover's Leap,Lower Buttress,Mark,"Lie-back to shenanigans for the first move. Lots of mantle moves, good practice and confidence booster. One move that I just barely could reach my fingers around."
OID-027,Bear's Reach,5.7,400,Trad,Follow,8-14-2019,y,TID-007,Lover's Leap,East Wall,"Ann, Mark",Don't even remember the reach! Lots of fun moves with good opportunity for technical engagement
OID-028,Farce,5.5,200,Trad,Follow,8-14-2019,n,TID-007,Lover's Leap,Lower Buttress,"Ann, Mark","Tricky start that requires a left hand jam, closely followed by a right fist jam, then somehow move feet up and throw for a better hold up top."
OID-029,Shiela,5.10B,180,Trad,Follow,8-15-2019,n,TID-007,Pine Creek Canyon,Pratt's Crack,"Ann, Mark",Not a send. Pulled up the wall by Mark. Good hotbed of jamming techniques.
OID-030,Slot Machine,5.8+,300,Trad,Follow,8-23-2019,n,TID-008,Squamish,Bulletheads,Mark,"Fell off bottom few times, but good send up to the top."
OID-031,Piece of Pie,5.8,50,Trad,Follow,8-23-2019,n,TID-008,Squamish,Crag X,Mark,Super awesome hand/fist jam line ... would have sent if I didn't get tired at the top of the crack.
OID-032,Centre Street,5.10C,30,Trad,Follow,8-23-2019,n,TID-008,Squamish,Crag X,Mark,I think we only did the top third of this climb.
OID-033,Picket Line,5.9-,100,Trad,Follow,8-23-2019,n,TID-008,Squamish,Boulder Gulley,Mark,Somehow fell towards the top or middle? I think foot slipped out of a stem. We also probably didn'ta ctually do Picket Line. More likely something  more to the right.
OID-034,Dirty Little White Boys,5.10B,150,Trad,Follow,8-24-2019,n,TID-008,Squamish,Apron,"Mark, Arial",Hardeset slab I've ever done. Had to really work on it to progress. Escaped to RBTL halfway up pitch 1
OID-035,Read Between the Lines,5.10-,80,Trad,Follow,8-24-2019,n,TID-008,Squamish,Apron,"Mark, Arial","Nice splitter crack, 2nd half of p1 since we had escaped from DLWB."
OID-036,Star Chek,5.8+,400,Trad,Follow,8-24-2019,y,TID-008,Squamish,Galaxy Buttress,"Mark, Arial",Most photogenic climb ever. Scary exposure on the arete. Can be avoided with good slabwork.
OID-037,Turkey Dinner,5.7,60,Trad,Follow,8-25-2019,y,TID-008,Squamish,Krack Rock,Mark,Easy peasy! Work the wide at the top
OID-038,Popsickle,5.7,60,Trad,Follow,8-25-2019,y,TID-008,Squamish,Krack Rock,Mark,"Hard finger crack start, but I found this crack very enjoyable."
OID-039,Penny Lane,5.9,100,Trad,Follow,8-25-2019,n,TID-008,Squamish,Penny Lane,Mark,Tough moves on finger jams ... but super fun! Had to work it. Would love to come back and send again.
OID-040,St. Vitus' Dance,5.9,600,Trad,Follow,8-26-2019,n,TID-008,Squamish,Apron,Mark,"Beautiful cracks. I feel like this is my window into the world of beautiful moderates. 3/5 are 5.9 -- my fav climb was P3, just a pure line ending with a scrappy bulge. P4 also had a tough bulge... very difficult for me."
OID-041,Skywalker,5.8,300,Trad,Follow,8-26-2019,n,TID-008,Squamish,Shannon Falls Area,Mark,"Really diversified climbing. Really special stuff. Big big big bulge fight (""thought-provoking move"" - MP) at the top of P3. P2 also had this crack line that was intimidating, but once you figure out the rhythm it goes (""The Flume"")"
OID-042,Skyline Pillar,5.7,40,Sport,Follow,9-9-2019,n,TID-009,Holcomb Valley Pinnacles,Doc Holliday Wall,"Amanda, Enrico, Adelaide","Fell at the bottom. Felt kind of weak, probably because I haven't really pulled on crimps in a long time."
OID-043,Pistol Pete,5.10A/B,80,Sport,Follow,9-9-2019,n,TID-009,Holcomb Valley Pinnacles,Doc Holliday Wall,"Amanda, Enrico, Adelaide",Bottom slab was really fun! Didn't escape the route this time. Got stuck/pumped at the same part. Just need to find an unchalked hand that allows you to pistol squat up to a jug.
OID-044,Coyotes at Sunset,5.8,70,Sport,Lead,9-9-2019,y,TID-009,Holcomb Valley Pinnacles,Coyote Crag,"Amanda, Enrico, Adelaide",Good re-intro to lead head.
OID-045,Bye Crackie,5.7,60,Sport,TR,9-9-2019,y,TID-009,Holcomb Valley Pinnacles,Coyote Crag,"Amanda, Enrico, Adelaide",Was able to try out some dihedral action via TR
OID-046,Claim Jumper,5.10A,80,Sport,TR,9-9-2019,y,TID-009,Holcomb Valley Pinnacles,Claim Jumper Wall,"Amanda, Enrico, Adelaide","Felt so much more solid on this one. It felt like my body was ready to crush. Worked my way around the crux again, but dialing in the sequence for sure."
OID-047,Skyline Pillar,5.7,40,Sport,Lead,9-15-2019,y,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,
OID-048,Skyline Pillar,5.7,40,Sport,Lead,9-15-2019,y,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,
OID-049,Skyline Pillar,5.7,40,Sport,TR,9-15-2019,y,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,Approach shoe send
OID-050,Bacon Taco,5.10A,40,Sport,TR,9-15-2019,n,TID-010,Holcomb Valley Pinnacles,Gunsmoke Wall,Ann,Got yucked up on bad beta trying to follow chalk. Just use flakes!
OID-051,Quick on the Draw,5.10D,60,Sport,TR,9-15-2019,n,TID-010,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,"Start right foot on dish, work left foot to starting rail. Use bad sidepull to cross feet and make your way to a knob. Use the knob to work back right to a worse knob. Not bad climbing after that section."
OID-052,Coyotes at Sunset,5.8,70,Sport,Lead,9-21-2019,y,TID-011,Holcomb Valley Pinnacles,Coyote Crag,Ann,
OID-053,Golden Poodle,5.9+,75,Sport,Lead,9-21-2019,n,TID-011,Holcomb Valley Pinnacles,Coyote Crag,Ann,
OID-054,Bye Crackie,5.7,60,Sport,TR,9-21-2019,y,TID-011,Holcomb Valley Pinnacles,Coyote Crag,Ann,Just needed to find the beta! Scary lead over the crux.
OID-055,Claim Jumper,5.10A,80,Sport,Lead,9-22-2019,n,TID-012,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,"Deciding that the best way forward is just to use the crack on the left. I was able to use the crux to clip the crux-bolt, but it was a close call. I couldn't progress further from that point."
OID-056,Bum Steer,5.10A,60,Sport,Lead,9-22-2019,n,TID-012,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,Could have gotten the send if I went left instead of right. This crag is too zig-zaggy
OID-057,Lady Luck,5.9,40,Sport,Lead,9-22-2019,y,TID-012,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,Fun lead! Kinda scary topout.
OID-058,Bye Crackie,5.7,60,Sport,Lead,10-3-2019,y,TID-013,Holcomb Valley Pinnacles,Coyote Crag,"Louven, Ellen",
OID-059,Coyotes at Sunset,5.8,70,Sport,Lead,9-21-2019,y,TID-013,Holcomb Valley Pinnacles,Coyote Crag,"Louven, Ellen",
OID-060,Gold Standard,5.6,80,Sport,Lead,9-21-2019,y,TID-013,Holcomb Valley Pinnacles,Gold Wall,"Louven, Ellen",Great easy lead. Fun for beginner leaders
OID-061,Gold Standard,5.6,80,Sport,TR,9-22-2019,y,TID-013,Holcomb Valley Pinnacles,Gold Wall,"Louven, Ellen",
OID-062,Pistol Pete,5.10A/B,80,Sport,Lead,9-22-2019,n,TID-013,Holcomb Valley Pinnacles,Doc Holliday Wall,"Louven, Ellen",
OID-063,Claim Jumper,5.10A,80,Sport,TR,9-22-2019,n,TID-013,Holcomb Valley Pinnacles,Claim Jumper Wall,"Louven, Ellen",
OID-064,Fever Pitch,5.3,30,Sport,Free Solo,9-22-2019,y,TID-013,Holcomb Valley Pinnacles,Claim Jumper Wall,"Louven, Ellen",
OID-065,Bacon Taco,5.10A,40,Sport,TR,9-22-2019,n,TID-013,Holcomb Valley Pinnacles,Gunsmoke Wall,"Louven, Ellen",Almost able to send this and perhaps lead it! Just need to lock down beta from below
OID-066,University of Santa Clara Practice Climb 1,5.8,70,Sport,Lead,10-6-2019,y,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann",So much bird poop. High sand to stemming ratio. Good vertical but not my favorite asthetic.
OID-067,University of Santa Clara Practice Climb 2,5.7,40,Sport,Lead,10-6-2019,y,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann",Strange start if you don't know how to progress up. Move around the outside to the left and stem your way up between the spire and the wall.
OID-068,Wide Crack,5.7,40,Sport,TR,10-6-2019,n,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann",Fun little opportunity to heel-toe cam your way up a decent crack.
OID-069,Bolt Filcher,5.10D,50,Sport,TR,10-6-2019,n,TID-014,Castle Rock,Summit Rock,"Louven, Phoebe, Elizabeth, Ann","Boulder move to start, slab your way up some bad feet and over a menacing bulge."
OID-070,Organ Grinder,5.8+,40,Sport,Lead,10-11-2019,y,TID-015,Pinnacles NP,Upper Crust,Phoebe,
OID-071,Sound Chaser,5.10A,60,Sport,Lead,10-11-2019,n,TID-015,Pinnacles NP,Upper Crust,Phoebe,"Fun problem with switchbacks. Crux is at bottom, but also getting to the right. Needs drag protection."
OID-072,Wee Little One,5.8,50,Sport,Lead,10-11-2019,y,TID-015,Pinnacles NP,Tourist Trap,Phoebe,We found the anchors before we found the climb. Fun and short.
OID-073,Gimpenator,5.8,83,Sport,Lead,10-25-2019,y,TID-016,Pine Creek Canyon,Mustache Wall,Ann,Weird clip placements but apparently a good warmup.
OID-074,Becky Route,5.9+,100,Sport,TR,10-25-2019,y,TID-016,Pine Creek Canyon,Mustache Wall,Ann,Super solid flow!!! Need to lead and clean up.
OID-075,Badassitude,5.8,100,Sport,Lead,10-26-2019,y,TID-016,Owens River Gorge,Triple Play Cliff,Ann,"Great beginner lead, give 'em a scare."
OID-076,Bill's Little Black Book,5.8,100,Sport,Lead,10-26-2019,y,TID-016,Owens River Gorge,Triple Play Cliff,Ann,Use a hand jam to get you past the weird start. Much better than lieback. Thought provoking.
OID-077,Gorgeous,5.10B,80,Sport,TR,10-26-2019,n,TID-016,Owens River Gorge,Gorgeous Towers,Ann,Slick at the bottom! Fell at second bolt on TR.
OID-078,Hot Pink Socks,5.9+,115,Sport,TR,10-26-2019,n,TID-016,Owens River Gorge,All You Can Eat,Ann,Balancy crux is impossible. No idea how to do it. Had to cheat by pulling on the hangar.
OID-079,P.D. Time,5.7,40,Sport,Lead,10-27-2019,n,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Go left! You'll be grateful.
OID-080,P.D. Time,5.7,40,Sport,Lead,10-27-2019,y,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Confidence boost.
OID-081,Pet Trackers,5.10A,40,Sport,TR,10-27-2019,y,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Bouldery start is a confidence booster.
OID-082,Slip 'N Slide,5.9,115,Sport,Lead,10-27-2019,y,TID-016,Owens River Gorge,Lower Elbow Room,Ann,Most fun moderate in the Upper Gorge. Wild ride the whole way up.
OID-083,Imprisoned Behind Lies,5.6,85,Sport,Lead,10-28-2019,y,TID-016,Owens River Gorge,Negress Wall,Ann,Slippery bottom. Traverse at the top. Bad time cleaning via lowering.
OID-084,High Seas,5.8,75,Sport,Lead,10-28-2019,y,TID-016,Owens River Gorge,Warm Up Wall,Ann,"Sustained climbing, great holds all the way up."
OID-085,Coyotes at Sunset,5.8,70,Sport,Lead,11-1-2019,y,TID-017,Holcomb Valley Pinnacles,Coyote Crag,Ann,
OID-086,Pistol Pete,5.10A/B,80,Sport,Lead,11-1-2019,n,TID-017,Holcomb Valley Pinnacles,Doc Holliday Wall,Ann,So close to sending!!!!! Just gotta remember the beta going up to the last bolt.
OID-087,One Armed Bandit,5.10A,65,Sport,Lead,11-1-2019,n,TID-017,Holcomb Valley Pinnacles,Claim Jumper Wall,Ann,RIP draw. You will be missed.
OID-088,Gold Standard,5.6,80,Sport,Follow,11-2-2019,y,TID-017,Holcomb Valley Pinnacles,Golden Wall,Elizabeth,
OID-089,Bishops Terrace,5.8,150,Trad,Follow,11-4-2019,y,TID-018,Yosemite NP,Church Bowl,Mark,Very classic. Get here early.
